cata,repeated,stim,presentation
Scramble,False,scram22857084.thl.jpg,
Scramble,False,scramAbandleaders2.jpg,
Scramble,False,scramATOOLS.jpg,
Scramble,False,scramAdog122.jpg,
Scramble,False,scramAskirt2.jpg,
Scramble,False,scramAbasketandch2.jpg,
Scramble,False,scramATOOHOLDE.jpg,
Scramble,False,scramAantiquebuck2.jpg,
Scramble,False,scramAallterrain10.jpg,
Scramble,False,scram10053213.thm.jpg,
Scramble,False,scram8244991.thl.jpg,
Scramble,True,scramAcentipede4.jpg,1
Scramble,True,scramAcentipede4.jpg,2
Scramble,False,scramAfloppydisk6.jpg,
Scramble,True,scramAtoiletplung2.jpg,1
Scramble,True,scramAtoiletplung2.jpg,2
Scramble,False,scramAperfumebottl.jpg,
Scramble,False,scramAARTIVE8.jpg,
Object,True,AMAGGLASS.jpg,1
Object,True,AMAGGLASS.jpg,2
Object,False,AWEDCOU19.jpg,
Object,False,ALADLE5.jpg,
Object,True,Abib2.jpg,1
Object,True,Abib2.jpg,2
Object,False,AFIRSTA15.jpg,
Object,False,ACEILHOOK.jpg,
Object,False,Abird41.jpg,
Object,False,Afan49.jpg,
Object,False,AFRUIT2.jpg,
Object,False,ACAMPSTO7.jpg,
Object,False,Ametalhousin4.jpg,
Object,False,ABRANCHES.jpg,
Object,False,Acomputerkey2.jpg,
Object,False,AASPHALT.jpg,
Object,False,Acomputerbag.jpg,
Object,False,Abasketandch2.jpg,
Scramble,True,scramAAFRICS13.jpg,1
Scramble,True,scramAAFRICS13.jpg,2
Scramble,False,scramAstonecarvin8.jpg,
Scramble,False,scramATOILBAG2.jpg,
Scramble,False,scramAcatheter.jpg,
Scramble,False,scramAclamp62.jpg,
Scramble,False,scram8048786.thl.jpg,
Scramble,False,scramswingset.jpg,
Scramble,False,scram8026164.thl.jpg,
Scramble,False,scram8065674.thl.jpg,
Scramble,False,scramACOMPACT.jpg,
Scramble,False,scram8060342.thl.jpg,
Scramble,False,scramACHIPROL2.jpg,
Scramble,False,scramAfoodproces22.jpg,
Scramble,True,scramAFIRSTA15.jpg,1
Scramble,True,scramAFIRSTA15.jpg,2
Scramble,False,scramwoodvase.jpg,
Scramble,False,scramACEILHOOK.jpg,
Object,False,AELECRAZ7.jpg,
Object,False,bikewithbasket.jpg,
Object,False,AINCENSE4.jpg,
Object,False,Afloppydisk6.jpg,
Object,False,AFULVOUST.jpg,
Object,False,ASUSHI8.jpg,
Object,False,Ascientificm2.jpg,
Object,True,AEMERGLI4.jpg,1
Object,True,AEMERGLI4.jpg,2
Object,False,Atrafficsign2.jpg,
Object,False,Apercussion16.jpg,
Object,False,AMECHHAN4.jpg,
Object,False,Aflyingeagle9.jpg,
Object,False,ACANOL.jpg,
Object,True,ABATHTUB3.jpg,1
Object,True,ABATHTUB3.jpg,2
Object,False,AGOOSNEC2.jpg,
Object,False,8060342.thl.jpg,
Scramble,False,scramApercussion16.jpg,
Scramble,False,scramAfan49.jpg,
Scramble,False,scramQD-HEad.jpg,
Scramble,False,scramATELESCO2.jpg,
Scramble,True,scramAbird8.jpg,1
Scramble,True,scramAbird8.jpg,2
Scramble,False,scramATEALANT8.jpg,
Scramble,False,scramturnip.jpg,
Scramble,False,scramASLED7.jpg,
Scramble,True,scram311-863-217.jpg,1
Scramble,True,scram311-863-217.jpg,2
Scramble,False,scramAHEARTES3.jpg,
Scramble,False,scram8257273.thl.jpg,
Scramble,False,scram22856172.thl.jpg,
Scramble,False,scramAINCENSE4.jpg,
Scramble,False,scramAELEAGEN3.jpg,
Scramble,False,scramAOUTHOUSE.jpg,
Scramble,False,scramAMANGO.jpg,
Object,False,26432109.thl.jpg,
Object,False,ACHEESESL.jpg,
Object,False,10053213.thm.jpg,
Object,False,ACOMPACT.jpg,
Object,False,AWREATH9.jpg,
Object,False,Astereo30.jpg,
Object,True,woodvase.jpg,1
Object,True,woodvase.jpg,2
Object,False,ADENTRAY3.jpg,
Object,False,8022057.thl.jpg,
Object,False,Aantiquepock3.jpg,
Object,False,Akiwifruit6.jpg,
Object,False,Abandleaders2.jpg,
Object,True,AFISHHOO9.jpg,1
Object,True,AFISHHOO9.jpg,2
Object,False,ATELESCO2.jpg,
Object,False,ACHIPROL2.jpg,
Object,False,AHAZELNU3.jpg,
Scramble,False,scramtape-a.jpg,
Scramble,False,scramApencilsharp5.jpg,
Scramble,False,scramACHEESESL.jpg,
Scramble,True,scramABATHTUB3.jpg,1
Scramble,True,scramABATHTUB3.jpg,2
Scramble,False,scramAGOOSNEC2.jpg,
Scramble,False,scramAWREATH9.jpg,
Scramble,False,scram23070064.thl.jpg,
Scramble,False,scram23007415.thl.jpg,
Scramble,False,scramABRANCHES.jpg,
Scramble,False,scramAdriedleaf.jpg,
Scramble,False,scram26442719.thl.jpg,
Scramble,True,scramAkiwifruit6.jpg,1
Scramble,True,scramAkiwifruit6.jpg,2
Scramble,False,scramAMAILBO28.jpg,
Scramble,False,scramAantiquepock3.jpg,
Scramble,False,scramAGIFTBOX8.jpg,
Scramble,False,scramAstadium.jpg,
Object,False,ATOYTREE.jpg,
Object,False,ATEALANT8.jpg,
Object,False,turnip.jpg,
Object,False,AGOAT10.jpg,
Object,False,Ascroll7.jpg,
Object,True,ABLACKNEC.jpg,1
Object,True,ABLACKNEC.jpg,2
Object,False,26375982.thl.jpg,
Object,False,APEPPSHA4.jpg,
Object,False,8048786.thl.jpg,
Object,False,Astadium.jpg,
Object,False,AMANGO.jpg,
Object,False,Aperfumebottl.jpg,
Object,False,26369944.thl.jpg,
Object,False,Acheesgra.jpg,
Object,False,26374899.thl.jpg,
Object,True,Aantiquebuck2.jpg,1
Object,True,Aantiquebuck2.jpg,2
Scramble,False,scramzip-a.jpg,
Scramble,False,scramAbicycleglove.jpg,
Scramble,False,scram26441176.thl.jpg,
Scramble,False,scramAHAZELNU3.jpg,
Scramble,True,scramAtoycoffeepo2.jpg,1
Scramble,True,scramAtoycoffeepo2.jpg,2
Scramble,False,scramAtoyhomeoffi4.jpg,
Scramble,False,scramgymbench.jpg,
Scramble,False,scramAcomputerbag.jpg,
Scramble,True,scram26369944.thl.jpg,1
Scramble,True,scram26369944.thl.jpg,2
Scramble,False,scramAframedpainti.jpg,
Scramble,False,scrammangosplitter.jpg,
Scramble,False,scramAFULVOUST.jpg,
Scramble,False,scramADENTRAY3.jpg,
Scramble,False,scram23065398.thl.jpg,
Scramble,False,scram8258007.thl.jpg,
Scramble,False,scramASTEPPER.jpg,
Object,False,22910996.thl.jpg,
Object,False,26441176.thl.jpg,
Object,False,zip-a.jpg,
Object,False,ACLOGOPE3.jpg,
Object,False,Atoycoffeepo2.jpg,
Object,False,8255981.thl.jpg,
Object,False,8065674.thl.jpg,
Object,False,Ahandbag50.jpg,
Object,False,A52ZX.jpg,
Object,False,22856172.thl.jpg,
Object,True,gymbench.jpg,1
Object,True,gymbench.jpg,2
Object,False,8257273.thl.jpg,
Object,False,Apencilsharp5.jpg,
Object,True,Abottleopener.jpg,1
Object,True,Abottleopener.jpg,2
Object,False,23070064.thl.jpg,
Object,False,M15589.jpg,
Scramble,False,scramAbottleopener.jpg,
Scramble,False,scramAtoyservices2.jpg,
Scramble,False,scramVMS7B.jpg,
Scramble,True,scram22910996.thl.jpg,1
Scramble,True,scram22910996.thl.jpg,2
Scramble,False,scramAkitchentool2.jpg,
Scramble,False,scramAzebra8.jpg,
Scramble,False,scramAGOAT10.jpg,
Scramble,False,scrambikewithbasket.jpg,
Scramble,False,scrambagelslicer.jpg,
Scramble,False,scramAleatherpenc9.jpg,
Scramble,False,scramAMAGGLASS.jpg,
Scramble,False,scramAJEEPBOA2.jpg,
Scramble,True,scramAASPHALT.jpg,1
Scramble,True,scramAASPHALT.jpg,2
Scramble,False,scram8255981.thl.jpg,
Scramble,False,scramAWEDCOU19.jpg,
Scramble,False,scramAscroll7.jpg,
